player,salary,season,season_end,season_start,team
Jodie Meeks,3290000,2017-18,2018,2017,Washington Wizards
Scott Meents,300000,1990-91,1991,1990,Seattle SuperSonics
Salah Mejri,525093,2015-16,2016,2015,Dallas Mavericks
Salah Mejri,874636,2016-17,2017,2016,Dallas Mavericks
Salah Mejri,1471382,2017-18,2018,2017,Dallas Mavericks
Gal Mekel,816482,2014-15,2015,2014,Dallas Mavericks
Gal Mekel,633974,2014-15,2015,2014,New Orleans Pelicans
Gal Mekel,315760,2015-16,2016,2015,Dallas Mavericks
Gal Mekel,315760,2016-17,2017,2016,Dallas Mavericks
Gal Mekel,315760,2017-18,2018,2017,Dallas Mavericks
Fab Melo,1254720,2012-13,2013,2012,Boston Celtics
Fab Melo,1311240,2013-14,2014,2013,Memphis Grizzlies
Fab Melo,788872,2013-14,2014,2013,Dallas Mavericks
Fab Melo,437080,2014-15,2015,2014,Memphis Grizzlies
Pops Mensah-Bonsu,412718,2006-07,2007,2006,Dallas Mavericks
Pops Mensah-Bonsu,242793,2009-10,2010,2009,Toronto Raptors
Pops Mensah-Bonsu,87406,2009-10,2010,2009,Houston Rockets
Pops Mensah-Bonsu,364461,2010-11,2011,2010,New Orleans Hornets
Ron Mercer,1768320,1997-98,1998,1997,Boston Celtics
Ron Mercer,2033000,1998-99,1999,1998,Boston Celtics
Ron Mercer,2298840,1999-00,2000,1999,Orlando Magic
Ron Mercer,5520000,2000-01,2001,2000,Chicago Bulls
Ron Mercer,6750000,2001-02,2002,2001,Chicago Bulls
Ron Mercer,6750000,2002-03,2003,2002,Indiana Pacers
Ron Mercer,6750000,2003-04,2004,2003,San Antonio Spurs
Ron Mercer,1600000,2004-05,2005,2004,New Jersey Nets
Ron Mercer,1760000,2005-06,2006,2005,New Jersey Nets
Joe Meriweather,225000,1984-85,1985,1984,Kansas City Kings
Loren Meyer,556000,1995-96,1996,1995,Dallas Mavericks
Loren Meyer,639000,1996-97,1997,1996,Phoenix Suns
Loren Meyer,722760,1997-98,1998,1997,Phoenix Suns
Loren Meyer,450000,1998-99,1999,1998,Denver Nuggets
Jordan Mickey,1200000,2015-16,2016,2015,Boston Celtics
Jordan Mickey,1223653,2016-17,2017,2016,Boston Celtics
Jordan Mickey,1471382,2017-18,2018,2017,Miami Heat
Khris Middleton,473604,2012-13,2013,2012,Detroit Pistons
Khris Middleton,788872,2013-14,2014,2013,Milwaukee Bucks
Khris Middleton,915243,2014-15,2015,2014,Milwaukee Bucks
Khris Middleton,15000000,2015-16,2016,2015,Milwaukee Bucks
Khris Middleton,15200000,2016-17,2017,2016,Milwaukee Bucks
Khris Middleton,14100000,2017-18,2018,2017,Milwaukee Bucks
Chris Mihm,1923600,2000-01,2001,2000,Cleveland Cavaliers
Chris Mihm,2067960,2001-02,2002,2001,Cleveland Cavaliers
Chris Mihm,2212200,2002-03,2003,2002,Cleveland Cavaliers
Chris Mihm,2809494,2003-04,2004,2003,Boston Celtics
Chris Mihm,3371393,2004-05,2005,2004,Los Angeles Lakers
Chris Mihm,3792817,2005-06,2006,2005,Los Angeles Lakers
Chris Mihm,4214241,2006-07,2007,2006,Los Angeles Lakers
Chris Mihm,2500000,2007-08,2008,2007,Los Angeles Lakers
Chris Mihm,2500000,2008-09,2009,2008,Memphis Grizzlies
Aaron Miles,155614,2005-06,2006,2005,Golden State Warriors
C.J. Miles,398762,2005-06,2006,2005,Utah Jazz
C.J. Miles,664209,2006-07,2007,2006,Utah Jazz
C.J. Miles,770610,2007-08,2008,2007,Utah Jazz
C.J. Miles,3700000,2008-09,2009,2008,Utah Jazz
C.J. Miles,3700000,2009-10,2010,2009,Utah Jazz
C.J. Miles,3700000,2010-11,2011,2010,Utah Jazz
C.J. Miles,3700000,2011-12,2012,2011,Utah Jazz
C.J. Miles,2225000,2012-13,2013,2012,Cleveland Cavaliers
C.J. Miles,2225000,2013-14,2014,2013,Cleveland Cavaliers
C.J. Miles,4205000,2014-15,2015,2014,Indiana Pacers
C.J. Miles,4394225,2015-16,2016,2015,Indiana Pacers
C.J. Miles,4583450,2016-17,2017,2016,Indiana Pacers
C.J. Miles,7936509,2017-18,2018,2017,Toronto Raptors
Darius Miles,2841720,2000-01,2001,2000,Los Angeles Clippers
Darius Miles,3054840,2001-02,2002,2001,Los Angeles Clippers
Darius Miles,3267960,2002-03,2003,2002,Cleveland Cavaliers
Darius Miles,4130701,2003-04,2004,2003,Cleveland Cavaliers
Darius Miles,6750000,2004-05,2005,2004,Portland Trail Blazers
Darius Miles,7250000,2005-06,2006,2005,Portland Trail Blazers
Darius Miles,7750000,2006-07,2007,2006,Portland Trail Blazers
Darius Miles,8250000,2007-08,2008,2007,Portland Trail Blazers
Darius Miles,9000000,2008-09,2009,2008,Portland Trail Blazers
Darius Miles,704752,2008-09,2009,2008,Memphis Grizzlies
Darius Miles,9000000,2009-10,2010,2009,Portland Trail Blazers
Marko Milic,242000,1997-98,1998,1997,Philadelphia 76ers
Marko Milic,350000,1998-99,1999,1998,Phoenix Suns
Darko Milicic,3595800,2003-04,2004,2003,Detroit Pistons
Darko Milicic,3865440,2004-05,2005,2004,Detroit Pistons
Darko Milicic,4135200,2005-06,2006,2005,Detroit Pistons
Darko Milicic,5218622,2006-07,2007,2006,Orlando Magic
Darko Milicic,6500000,2007-08,2008,2007,Memphis Grizzlies
Darko Milicic,7020000,2008-09,2009,2008,Memphis Grizzlies
Darko Milicic,7500000,2009-10,2010,2009,Minnesota Timberwolves
Darko Milicic,4325000,2010-11,2011,2010,Minnesota Timberwolves
Darko Milicic,4776500,2011-12,2012,2011,Minnesota Timberwolves
Darko Milicic,5228000,2012-13,2013,2012,Minnesota Timberwolves
Darko Milicic,159080,2012-13,2013,2012,Boston Celtics
Andre Miller,1682280,1999-00,2000,1999,Cleveland Cavaliers
Andre Miller,1808400,2000-01,2001,2000,Cleveland Cavaliers
Andre Miller,1934520,2001-02,2002,2001,Cleveland Cavaliers
Andre Miller,2460709,2002-03,2003,2002,Los Angeles Clippers
Andre Miller,8000000,2003-04,2004,2003,Denver Nuggets
Andre Miller,7366667,2004-05,2005,2004,Denver Nuggets
Andre Miller,8100000,2005-06,2006,2005,Denver Nuggets
Andre Miller,8733333,2006-07,2007,2006,Philadelphia 76ers
Andre Miller,9366666,2007-08,2008,2007,Philadelphia 76ers
Andre Miller,10333334,2008-09,2009,2008,Philadelphia 76ers
Andre Miller,6730800,2009-10,2010,2009,Portland Trail Blazers
Andre Miller,7269264,2010-11,2011,2010,Portland Trail Blazers
Andre Miller,7807728,2011-12,2012,2011,Denver Nuggets
Andre Miller,5000000,2012-13,2013,2012,Denver Nuggets
Andre Miller,5000000,2013-14,2014,2013,Denver Nuggets
Andre Miller,4625000,2014-15,2015,2014,Sacramento Kings
Andre Miller,1499187,2015-16,2016,2015,Minnesota Timberwolves
Andre Miller,396844,2015-16,2016,2015,San Antonio Spurs
Anthony Miller,150000,1994-95,1995,1994,Los Angeles Lakers
Anthony Miller,550000,1995-96,1996,1995,Los Angeles Lakers
Anthony Miller,272250,1997-98,1998,1997,Atlanta Hawks
Anthony Miller,475000,1998-99,1999,1998,Houston Rockets
Anthony Miller,30000,1999-00,2000,1999,Houston Rockets
Anthony Miller,40000,2000-01,2001,2000,Atlanta Hawks
Anthony Miller,34118,2004-05,2005,2004,Atlanta Hawks
Brad Miller,287500,1998-99,1999,1998,Charlotte Hornets
Brad Miller,385000,1999-00,2000,1999,Charlotte Hornets
Brad Miller,4000000,2000-01,2001,2000,Chicago Bulls
Brad Miller,4400000,2001-02,2002,2001,Chicago Bulls
Brad Miller,4800000,2002-03,2003,2002,Indiana Pacers
Brad Miller,7000000,2003-04,2004,2003,Sacramento Kings
Brad Miller,7875000,2004-05,2005,2004,Sacramento Kings
Brad Miller,8750000,2005-06,2006,2005,Sacramento Kings
Brad Miller,9625000,2006-07,2007,2006,Sacramento Kings
Brad Miller,10500000,2007-08,2008,2007,Sacramento Kings
Brad Miller,11375000,2008-09,2009,2008,Chicago Bulls
Brad Miller,12250000,2009-10,2010,2009,Chicago Bulls
Brad Miller,4400000,2010-11,2011,2010,Houston Rockets
Brad Miller,4752000,2011-12,2012,2011,Minnesota Timberwolves
Brad Miller,848000,2012-13,2013,2012,Phoenix Suns
Darius Miller,473604,2012-13,2013,2012,New Orleans Hornets
Darius Miller,788872,2013-14,2014,2013,New Orleans Pelicans
Darius Miller,400000,2014-15,2015,2014,New Orleans Pelicans
Darius Miller,2100000,2017-18,2018,2017,New Orleans Pelicans
Mike Miller,2320080,2000-01,2001,2000,Orlando Magic
Mike Miller,2494080,2001-02,2002,2001,Orlando Magic
Mike Miller,2668080,2002-03,2003,2002,Orlando Magic
Mike Miller,3380457,2003-04,2004,2003,Memphis Grizzlies
Mike Miller,6000000,2004-05,2005,2004,Memphis Grizzlies
Mike Miller,6750000,2005-06,2006,2005,Memphis Grizzlies
Mike Miller,7623813,2006-07,2007,2006,Memphis Grizzlies
Mike Miller,8376194,2007-08,2008,2007,Memphis Grizzlies
Mike Miller,9028575,2008-09,2009,2008,Minnesota Timberwolves
Mike Miller,9750000,2009-10,2010,2009,Washington Wizards
Mike Miller,5000000,2010-11,2011,2010,Miami Heat
Mike Miller,5400000,2011-12,2012,2011,Miami Heat
Mike Miller,5800000,2012-13,2013,2012,Miami Heat
Mike Miller,1399507,2013-14,2014,2013,Memphis Grizzlies
Mike Miller,6600000,2014-15,2015,2014,Miami Heat
Mike Miller,2732000,2014-15,2015,2014,Cleveland Cavaliers
Mike Miller,2854940,2015-16,2016,2015,Portland Trail Blazers
Mike Miller,1499187,2015-16,2016,2015,Denver Nuggets
Mike Miller,3500000,2016-17,2017,2016,Denver Nuggets
Oliver Miller,517000,1992-93,1993,1992,Phoenix Suns
Oliver Miller,672000,1993-94,1994,1993,Phoenix Suns
Oliver Miller,1540000,1994-95,1995,1994,Detroit Pistons
Oliver Miller,2372000,1995-96,1996,1995,Toronto Raptors
Oliver Miller,247500,1996-97,1997,1996,Dallas Mavericks
Oliver Miller,600000,1998-99,1999,1998,Sacramento Kings
Oliver Miller,510000,1999-00,2000,1999,Phoenix Suns
Oliver Miller,686838,2003-04,2004,2003,Minnesota Timberwolves
Quincy Miller,473604,2012-13,2013,2012,Denver Nuggets
Quincy Miller,788872,2013-14,2014,2013,Denver Nuggets
Quincy Miller,150000,2014-15,2015,2014,Denver Nuggets
Quincy Miller,107676,2014-15,2015,2014,Sacramento Kings
Quincy Miller,107676,2014-15,2015,2014,Detroit Pistons
Quincy Miller,50000,2015-16,2016,2015,Brooklyn Nets
Reggie Miller,254000,1987-88,1988,1987,Indiana Pacers
Reggie Miller,404000,1988-89,1989,1988,Indiana Pacers
Reggie Miller,654000,1990-91,1991,1990,Indiana Pacers
Reggie Miller,3211000,1991-92,1992,1991,Indiana Pacers
Reggie Miller,3211000,1992-93,1993,1992,Indiana Pacers
Reggie Miller,3011000,1993-94,1994,1993,Indiana Pacers
Reggie Miller,3210500,1994-95,1995,1994,Indiana Pacers
Reggie Miller,3211000,1995-96,1996,1995,Indiana Pacers
Reggie Miller,11250000,1996-97,1997,1996,Indiana Pacers
Reggie Miller,9031850,1997-98,1998,1997,Indiana Pacers
Reggie Miller,6781000,1998-99,1999,1998,Indiana Pacers
Reggie Miller,9031850,1999-00,2000,1999,Indiana Pacers
Reggie Miller,10670000,2000-01,2001,2000,Indiana Pacers
Reggie Miller,12045075,2001-02,2002,2001,Indiana Pacers
Reggie Miller,12046473,2002-03,2003,2002,Indiana Pacers
Reggie Miller,5000000,2003-04,2004,2003,Indiana Pacers
Reggie Miller,5500000,2004-05,2005,2004,Indiana Pacers
Reggie Miller,6000000,2005-06,2006,2005,Indiana Pacers
Chris Mills,650000,1993-94,1994,1993,Cleveland Cavaliers
Chris Mills,845000,1994-95,1995,1994,Cleveland Cavaliers
Chris Mills,1040000,1995-96,1996,1995,Cleveland Cavaliers
Chris Mills,1235000,1996-97,1997,1996,Cleveland Cavaliers
Chris Mills,3000000,1997-98,1998,1997,New York Knicks
Chris Mills,3600000,1998-99,1999,1998,Golden State Warriors
Chris Mills,4200000,1999-00,2000,1999,Golden State Warriors
Chris Mills,4800000,2000-01,2001,2000,Golden State Warriors
Chris Mills,5400000,2001-02,2002,2001,Golden State Warriors
Chris Mills,6000000,2002-03,2003,2002,Golden State Warriors
Chris Mills,6600000,2003-04,2004,2003,Boston Celtics
Patty Mills,457588,2009-10,2010,2009,Portland Trail Blazers
Patty Mills,937195,2010-11,2011,2010,Portland Trail Blazers
Patty Mills,1085120,2012-13,2013,2012,San Antonio Spurs
Patty Mills,1133950,2013-14,2014,2013,San Antonio Spurs
Patty Mills,3842105,2014-15,2015,2014,San Antonio Spurs
Patty Mills,3578947,2015-16,2016,2015,San Antonio Spurs
Patty Mills,3578948,2016-17,2017,2016,San Antonio Spurs
Patty Mills,10714286,2017-18,2018,2017,San Antonio Spurs
Terry Mills,600000,1990-91,1991,1990,New Jersey Nets
Terry Mills,850000,1991-92,1992,1991,New Jersey Nets
Terry Mills,1337000,1992-93,1993,1992,Detroit Pistons
Terry Mills,1614000,1993-94,1994,1993,Detroit Pistons
Terry Mills,1897000,1994-95,1995,1994,Detroit Pistons
Terry Mills,2177000,1995-96,1996,1995,Detroit Pistons
Terry Mills,2457000,1996-97,1997,1996,Detroit Pistons
Terry Mills,1000000,1997-98,1998,1997,Miami Heat
Terry Mills,1145000,1998-99,1999,1998,Miami Heat
Terry Mills,510000,1999-00,2000,1999,Detroit Pistons
Terry Mills,1400000,2000-01,2001,2000,Dallas Mavericks
Terry Mills,1000000,2000-01,2001,2000,Indiana Pacers
Elijah Millsap,241731,2014-15,2015,2014,Utah Jazz
Elijah Millsap,362878,2015-16,2016,2015,Utah Jazz
Elijah Millsap,23069,2016-17,2017,2016,Phoenix Suns
Paul Millsap,625000,2006-07,2007,2006,Utah Jazz
Paul Millsap,687456,2007-08,2008,2007,Utah Jazz
Paul Millsap,797581,2008-09,2009,2008,Utah Jazz
Paul Millsap,7692932,2009-10,2010,2009,Utah Jazz
Paul Millsap,7600000,2010-11,2011,2010,Utah Jazz
Paul Millsap,8103435,2011-12,2012,2011,Utah Jazz
Paul Millsap,8603633,2012-13,2013,2012,Utah Jazz
Paul Millsap,9500000,2013-14,2014,2013,Atlanta Hawks
Paul Millsap,9500000,2014-15,2015,2014,Atlanta Hawks
Paul Millsap,19000000,2015-16,2016,2015,Atlanta Hawks
Paul Millsap,20072033,2016-17,2017,2016,Atlanta Hawks
Paul Millsap,31269231,2017-18,2018,2017,Denver Nuggets
Harold Miner,912000,1992-93,1993,1992,Miami Heat
Harold Miner,1186000,1993-94,1994,1993,Miami Heat
Harold Miner,1459000,1994-95,1995,1994,Miami Heat
Harold Miner,1733000,1995-96,1996,1995,Cleveland Cavaliers
Yao Ming,3858240,2002-03,2003,2002,Houston Rockets
Yao Ming,4147560,2003-04,2004,2003,Houston Rockets
Yao Ming,4436880,2004-05,2005,2004,Houston Rockets
Yao Ming,5594906,2005-06,2006,2005,Houston Rockets
Yao Ming,12455000,2006-07,2007,2006,Houston Rockets
Yao Ming,13762775,2007-08,2008,2007,Houston Rockets
Yao Ming,15070550,2008-09,2009,2008,Houston Rockets
Yao Ming,16378325,2009-10,2010,2009,Houston Rockets
Yao Ming,17686100,2010-11,2011,2010,Houston Rockets
Dirk Minniefield,75000,1985-86,1986,1985,Cleveland Cavaliers
Dirk Minniefield,100000,1987-88,1988,1987,Boston Celtics
Greg Minor,250000,1994-95,1995,1994,Boston Celtics
Greg Minor,325000,1995-96,1996,1995,Boston Celtics
Greg Minor,1800000,1996-97,1997,1996,Boston Celtics
Greg Minor,2160000,1997-98,1998,1997,Boston Celtics
Greg Minor,2520000,1998-99,1999,1998,Boston Celtics
Greg Minor,2880000,1999-00,2000,1999,Boston Celtics
Greg Minor,3240000,2000-01,2001,2000,Boston Celtics
Nikola Mirotic,5305000,2014-15,2015,2014,Chicago Bulls
Nikola Mirotic,5543725,2015-16,2016,2015,Chicago Bulls
Nikola Mirotic,5782450,2016-17,2017,2016,Chicago Bulls
Nikola Mirotic,12500000,2017-18,2018,2017,New Orleans Pelicans
Jason Miskiri,15982,1999-00,2000,1999,Charlotte Hornets
Donovan Mitchell,2621280,2017-18,2018,2017,Utah Jazz
Mike Mitchell,790000,1984-85,1985,1984,San Antonio Spurs
Mike Mitchell,700000,1985-86,1986,1985,San Antonio Spurs
Mike Mitchell,750000,1987-88,1988,1987,San Antonio Spurs
Sam Mitchell,500000,1990-91,1991,1990,Minnesota Timberwolves
Sam Mitchell,630000,1991-92,1992,1991,Minnesota Timberwolves
Sam Mitchell,575000,1992-93,1993,1992,Indiana Pacers
Sam Mitchell,715000,1993-94,1994,1993,Indiana Pacers
Sam Mitchell,850000,1994-95,1995,1994,Indiana Pacers
Sam Mitchell,1000000,1995-96,1996,1995,Minnesota Timberwolves
Sam Mitchell,1200000,1996-97,1997,1996,Minnesota Timberwolves
Sam Mitchell,1400000,1997-98,1998,1997,Minnesota Timberwolves
Sam Mitchell,2000000,1999-00,2000,1999,Minnesota Timberwolves
Sam Mitchell,2370000,2000-01,2001,2000,Minnesota Timberwolves
Sam Mitchell,1000000,2001-02,2002,2001,Minnesota Timberwolves
Tony Mitchell,816482,2014-15,2015,2014,Phoenix Suns
Cuttino Mobley,287500,1998-99,1999,1998,Houston Rockets
Cuttino Mobley,385000,1999-00,2000,1999,Houston Rockets
Cuttino Mobley,3920000,2000-01,2001,2000,Houston Rockets
Cuttino Mobley,4413375,2001-02,2002,2001,Houston Rockets
Cuttino Mobley,4903750,2002-03,2003,2002,Houston Rockets
Cuttino Mobley,5394125,2003-04,2004,2003,Houston Rockets
Cuttino Mobley,5884500,2004-05,2005,2004,Orlando Magic
Cuttino Mobley,7200000,2005-06,2006,2005,Los Angeles Clippers
Cuttino Mobley,8125000,2006-07,2007,2006,Los Angeles Clippers
Cuttino Mobley,8350000,2007-08,2008,2007,Los Angeles Clippers
Cuttino Mobley,9100000,2008-09,2009,2008,New York Knicks
Cuttino Mobley,9500000,2009-10,2010,2009,New York Knicks
Eric Mobley,620000,1994-95,1995,1994,Milwaukee Bucks
Eric Mobley,1328000,1995-96,1996,1995,Vancouver Grizzlies
Eric Mobley,992000,1996-97,1997,1996,Vancouver Grizzlies
Eric Mobley,1178000,1997-98,1998,1997,Vancouver Grizzlies
Nazr Mohammed,535000,1998-99,1999,1998,Philadelphia 76ers
Nazr Mohammed,690960,1999-00,2000,1999,Philadelphia 76ers
Nazr Mohammed,739080,2000-01,2001,2000,Philadelphia 76ers
Nazr Mohammed,4500000,2001-02,2002,2001,Atlanta Hawks
Nazr Mohammed,4750000,2002-03,2003,2002,Atlanta Hawks
Nazr Mohammed,5000000,2003-04,2004,2003,Atlanta Hawks
Nazr Mohammed,5250000,2004-05,2005,2004,New York Knicks
Nazr Mohammed,5500000,2005-06,2006,2005,San Antonio Spurs
Nazr Mohammed,5215000,2006-07,2007,2006,Detroit Pistons
Nazr Mohammed,5632200,2007-08,2008,2007,Charlotte Bobcats
Nazr Mohammed,6049400,2008-09,2009,2008,Charlotte Bobcats
Nazr Mohammed,6466600,2009-10,2010,2009,Charlotte Bobcats
Nazr Mohammed,6883800,2010-11,2011,2010,Oklahoma City Thunder
Nazr Mohammed,3750000,2011-12,2012,2011,Oklahoma City Thunder
Nazr Mohammed,1352181,2012-13,2013,2012,Chicago Bulls
Nazr Mohammed,1399507,2013-14,2014,2013,Chicago Bulls
Nazr Mohammed,1448490,2014-15,2015,2014,Chicago Bulls
Nazr Mohammed,352750,2015-16,2016,2015,Oklahoma City Thunder
Jerome Moiso,1461960,2000-01,2001,2000,Boston Celtics
Jerome Moiso,1571640,2001-02,2002,2001,Charlotte Hornets
Jerome Moiso,1681200,2002-03,2003,2002,New Orleans Hornets
Jerome Moiso,1600000,2003-04,2004,2003,Toronto Raptors
Jerome Moiso,1760000,2004-05,2005,2004,Toronto Raptors
Paul Mokeski,345000,1984-85,1985,1984,Milwaukee Bucks
Paul Mokeski,370000,1985-86,1986,1985,Milwaukee Bucks
Paul Mokeski,350000,1987-88,1988,1987,Milwaukee Bucks
Paul Mokeski,375000,1988-89,1989,1988,Milwaukee Bucks
Paul Mokeski,100000,1990-91,1991,1990,Golden State Warriors
Sidney Moncrief,884000,1984-85,1985,1984,Milwaukee Bucks
Sidney Moncrief,884000,1985-86,1986,1985,Milwaukee Bucks
Sidney Moncrief,784000,1987-88,1988,1987,Milwaukee Bucks
Sidney Moncrief,1100000,1988-89,1989,1988,Milwaukee Bucks
Sidney Moncrief,510000,1990-91,1991,1990,Atlanta Hawks
Sergei Monia,1016400,2005-06,2006,2005,Portland Trail Blazers
Sergei Monia,100000,2006-07,2007,2006,Sacramento Kings
Malik Monk,2904480,2017-18,2018,2017,Charlotte Hornets
Greg Monroe,2798040,2010-11,2011,2010,Detroit Pistons
Greg Monroe,3007920,2011-12,2012,2011,Detroit Pistons
Greg Monroe,3217680,2012-13,2013,2012,Detroit Pistons
Greg Monroe,4086454,2013-14,2014,2013,Detroit Pistons
Greg Monroe,5479934,2014-15,2015,2014,Detroit Pistons
Greg Monroe,16400000,2015-16,2016,2015,Milwaukee Bucks
Greg Monroe,17100000,2016-17,2017,2016,Milwaukee Bucks
Greg Monroe,16384175,2017-18,2018,2017,Phoenix Suns
Greg Monroe,5000000,2017-18,2018,2017,Boston Celtics
Rodney Monroe,217000,1991-92,1992,1991,Atlanta Hawks
Eric Montross,800000,1994-95,1995,1994,Boston Celtics
Eric Montross,1040000,1995-96,1996,1995,Boston Celtics
Eric Montross,1280000,1996-97,1997,1996,Dallas Mavericks
Eric Montross,1520000,1997-98,1998,1997,Philadelphia 76ers
Eric Montross,1760000,1998-99,1999,1998,Detroit Pistons
Eric Montross,2000000,1999-00,2000,1999,Detroit Pistons
Eric Montross,2240000,2000-01,2001,2000,Detroit Pistons
Eric Montross,2480000,2001-02,2002,2001,Toronto Raptors
Eric Montross,2720000,2002-03,2003,2002,Toronto Raptors
Eric Montross,2960000,2003-04,2004,2003,Toronto Raptors
Jamario Moon,427163,2007-08,2008,2007,Toronto Raptors
Jamario Moon,711517,2008-09,2009,2008,Miami Heat
Jamario Moon,2750000,2009-10,2010,2009,Cleveland Cavaliers
Jamario Moon,3000000,2010-11,2011,2010,Los Angeles Clippers
E'Twaun Moore,473604,2011-12,2012,2011,Boston Celtics
E'Twaun Moore,762195,2012-13,2013,2012,Orlando Magic
E'Twaun Moore,884293,2013-14,2014,2013,Orlando Magic
E'Twaun Moore,948163,2014-15,2015,2014,Chicago Bulls
E'Twaun Moore,1015421,2015-16,2016,2015,Chicago Bulls
E'Twaun Moore,8081363,2016-17,2017,2016,New Orleans Pelicans
E'Twaun Moore,8445024,2017-18,2018,2017,New Orleans Pelicans
Johnny Moore,200000,1984-85,1985,1984,San Antonio Spurs
Johnny Moore,350000,1985-86,1986,1985,San Antonio Spurs
Mikki Moore,460000,1999-00,2000,1999,Detroit Pistons
Mikki Moore,2850000,2000-01,2001,2000,Detroit Pistons
Mikki Moore,2531250,2001-02,2002,2001,Detroit Pistons
Mikki Moore,2412500,2002-03,2003,2002,Detroit Pistons
Mikki Moore,46642,2002-03,2003,2002,Boston Celtics
Mikki Moore,513000,2003-04,2004,2003,New Jersey Nets
Mikki Moore,870046,2004-05,2005,2004,Los Angeles Clippers
Mikki Moore,1020000,2005-06,2006,2005,Seattle SuperSonics
Mikki Moore,1071225,2006-07,2007,2006,New Jersey Nets
Mikki Moore,5356000,2007-08,2008,2007,Sacramento Kings
Mikki Moore,5632200,2008-09,2009,2008,Sacramento Kings
Mikki Moore,2000000,2009-10,2010,2009,Sacramento Kings
Mikki Moore,537952,2009-10,2010,2009,Golden State Warriors
Ron Moore,75000,1987-88,1988,1987,Phoenix Suns
Tracy Moore,250000,1992-93,1993,1992,Dallas Mavericks
Tracy Moore,40000,1993-94,1994,1993,Detroit Pistons
Tracy Moore,247500,1996-97,1997,1996,Houston Rockets
Eric Moreland,507336,2014-15,2015,2014,Sacramento Kings
Eric Moreland,845059,2015-16,2016,2015,Sacramento Kings
Eric Moreland,1739333,2017-18,2018,2017,Detroit Pistons
Darren Morningstar,43000,1993-94,1994,1993,Dallas Mavericks
Chris Morris,625000,1988-89,1989,1988,New Jersey Nets
Chris Morris,750000,1990-91,1991,1990,New Jersey Nets
Chris Morris,650000,1991-92,1992,1991,New Jersey Nets
Chris Morris,1510000,1992-93,1993,1992,New Jersey Nets
Chris Morris,1785000,1993-94,1994,1993,New Jersey Nets
Chris Morris,2060000,1994-95,1995,1994,New Jersey Nets
Chris Morris,2500000,1995-96,1996,1995,Utah Jazz
Chris Morris,2500000,1996-97,1997,1996,Utah Jazz
Chris Morris,3000000,1997-98,1998,1997,Utah Jazz
Chris Morris,1000000,1998-99,1999,1998,Phoenix Suns
Darius Morris,473604,2011-12,2012,2011,Los Angeles Lakers
Darius Morris,962195,2012-13,2013,2012,Los Angeles Lakers
Darius Morris,1046269,2013-14,2014,2013,Philadelphia 76ers
Darius Morris,702756,2014-15,2015,2014,Brooklyn Nets
Isaiah Morris,140000,1992-93,1993,1992,Detroit Pistons
Jaylen Morris,193536,2017-18,2018,2017,Atlanta Hawks
Marcus Morris,1823280,2011-12,2012,2011,Houston Rockets
Marcus Morris,1959960,2012-13,2013,2012,Phoenix Suns
Marcus Morris,1987320,2013-14,2014,2013,Phoenix Suns
Marcus Morris,2943221,2014-15,2015,2014,Phoenix Suns
Marcus Morris,5000000,2015-16,2016,2015,Detroit Pistons
Marcus Morris,4625000,2016-17,2017,2016,Detroit Pistons
Marcus Morris,5000000,2017-18,2018,2017,Boston Celtics
Markieff Morris,1919160,2011-12,2012,2011,Phoenix Suns
Markieff Morris,2063040,2012-13,2013,2012,Phoenix Suns
Markieff Morris,2091840,2013-14,2014,2013,Phoenix Suns
Markieff Morris,2989239,2014-15,2015,2014,Phoenix Suns
Markieff Morris,8000000,2015-16,2016,2015,Washington Wizards
Markieff Morris,7400000,2016-17,2017,2016,Washington Wizards
Markieff Morris,8000000,2017-18,2018,2017,Washington Wizards
Randolph Morris,810000,2007-08,2008,2007,New York Knicks
Randolph Morris,797581,2008-09,2009,2008,Atlanta Hawks
Randolph Morris,855189,2009-10,2010,2009,Atlanta Hawks
Terence Morris,420000,2001-02,2002,2001,Houston Rockets
Terence Morris,512435,2002-03,2003,2002,Houston Rockets
Terence Morris,835810,2005-06,2006,2005,Orlando Magic
Adam Morrison,3616680,2006-07,2007,2006,Charlotte Bobcats
Adam Morrison,3887880,2007-08,2008,2007,Charlotte Bobcats
Adam Morrison,4159200,2008-09,2009,2008,Los Angeles Lakers
Adam Morrison,5257229,2009-10,2010,2009,Los Angeles Lakers
Anthony Morrow,442114,2008-09,2009,2008,Golden State Warriors
Anthony Morrow,736420,2009-10,2010,2009,Golden State Warriors
Anthony Morrow,4000000,2010-11,2011,2010,New Jersey Nets
Anthony Morrow,4000000,2011-12,2012,2011,New Jersey Nets
Anthony Morrow,4000000,2012-13,2013,2012,Dallas Mavericks
Anthony Morrow,1027424,2013-14,2014,2013,New Orleans Pelicans
Anthony Morrow,3200000,2014-15,2015,2014,Oklahoma City Thunder
Anthony Morrow,3344000,2015-16,2016,2015,Oklahoma City Thunder
Anthony Morrow,3488000,2016-17,2017,2016,Chicago Bulls
Dwayne Morton,150000,1994-95,1995,1994,Golden State Warriors
John Morton,350000,1990-91,1991,1990,Cleveland Cavaliers
John Morton,450000,1991-92,1992,1991,Cleveland Cavaliers
John Morton,6735,1999-00,2000,1999,Golden State Warriors
Lawrence Moten,280000,1995-96,1996,1995,Vancouver Grizzlies
Lawrence Moten,321000,1996-97,1997,1996,Vancouver Grizzlies
